KwaZulu-Natal;uPhongolo Local Municipality;KZN262
Limpopo;Ba-Phalaborwa Local Municipality;LIM334
Limpopo;Bela-Bela Local Municipality;LIM366
Limpopo;Blouberg Local Municipality;LIM351
Limpopo;Collins Chabane Local Municipality;LIM345
Limpopo;Elias Motsoaledi Local Municipality;LIM472
Limpopo;Ephraim Mogale Local Municipality;LIM471
Limpopo;Fetakgomo Tubatse Local Municipality;LIM476
Limpopo;Greater Giyani Local Municipality;LIM331
Limpopo;Greater Letaba Local Municipality;LIM332
Limpopo;Greater Tzaneen Local Municipality;LIM333
Limpopo;Lepelle-Nkumpi Local Municipality;LIM355
Limpopo;Lephalale Local Municipality;LIM362
Limpopo;Makhado Local Municipality;LIM344
Limpopo;Makhuduthamaga Local Municipality;LIM473
Limpopo;Maruleng Local Municipality;LIM335
Limpopo;Modimolle–Mookgophong Local Municipality;LIM368
Limpopo;Mogalakwena Local Municipality;LIM367
Limpopo;Molemole Local Municipality;LIM353
Limpopo;Musina Local Municipality;LIM341
Limpopo;Polokwane Local Municipality;LIM354
Limpopo;Thabazimbi Local Municipality;LIM361
Limpopo;Thulamela Local Municipality;LIM343
Mpumalanga;Albert Luthuli Local Municipality;MP301
Mpumalanga;Bushbuckridge Local Municipality;MP325
Mpumalanga;Dipaleseng Local Municipality;MP306
Mpumalanga;Dr JS Moroka Local Municipality;MP316
Mpumalanga;Emakhazeni Local Municipality;MP314
Mpumalanga;Emalahleni Local Municipality;MP312
Mpumalanga;Govan Mbeki Local Municipality;MP307
Mpumalanga;Lekwa Local Municipality;MP305
Mpumalanga;Mbombela Local Municipality;MP326
Mpumalanga;Mkhondo Local Municipality;MP303
Mpumalanga;Msukaligwa Local Municipality;MP302
Mpumalanga;Nkomazi Local Municipality;MP324
Mpumalanga;Pixley ka Seme Local Municipality;MP304
Mpumalanga;Steve Tshwete Local Municipality;MP313
Mpumalanga;Thaba Chweu Local Municipality;MP321
Mpumalanga;Thembisile Hani Local Municipality;MP315
Mpumalanga;Victor Khanye Local Municipality;MP311
North West;City of Matlosana Local Municipality;NW403
North West;Ditsobotla Local Municipality;NW384
North West;Greater Taung Local Municipality;NW394
North West;JB Marks Local Municipality;NW405
North West;Kagisano-Molopo Local Municipality;NW397
North West;Kgetlengrivier Local Municipality;NW374
North West;Lekwa-Teemane Local Municipality;NW396
North West;Madibeng Local Municipality;NW372
North West;Mahikeng Local Municipality;NW383
North West;Mamusa Local Municipality;NW393
North West;Maquassi Hills Local Municipality;NW404
North West;Moretele Local Municipality;NW371
North West;Moses Kotane Local Municipality;NW375
North West;Naledi Local Municipality;NW392
North West;Ramotshere Moiloa Local Municipality;NW385
North West;Ratlou Local Municipality;NW381
